Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J45,7,2,4,1,3,9,5,8,10,6,,"[117,110]","[126,104]","[51,46]","[73,79]","[22,31]","[70,57]","[77,73]","[87,85]","[57,66]","[34,40]"
J46,8,6,9,3,5,7,4,2,10,1,,"[92,95]","[56,37]","[57,79]","[78,36]","[30,60]","[82,96]","[34,39]","[30,37]","[134,85]","[24,56]"
J47,7,2,5,6,3,4,8,9,10,1,,"[81,84]","[82,88]","[85,80]","[36,59]","[94,50]","[80,69]","[135,109]","[54,65]","[81,71]","[98,96]"
J48,1,6,9,10,4,7,5,8,3,2,,"[65,53]","[77,56]","[62,71]","[86,107]","[71,95]","[87,48]","[162,92]","[31,42]","[94,76]","[31,37]"
J49,6,3,4,7,5,8,9,10,2,1,,"[112,79]","[33,34]","[108,79]","[117,110]","[131,143]","[71,74]","[32,47]","[38,28]","[56,72]","[33,30]"
J50,10,5,7,8,1,3,9,6,4,2,,"[72,59]","[78,65]","[54,47]","[63,35]","[53,47]","[66,67]","[51,74]","[56,43]","[77,67]","[40,34]"
J51,9,3,8,1,6,4,5,7,10,2,,"[58,72]","[97,53]","[31,31]","[107,55]","[25,29]","[46,50]","[37,42]","[83,81]","[70,130]","[80,71]"
J52,1,3,4,6,5,10,9,7,8,2,,"[79,69]","[146,135]","[135,68]","[116,125]","[117,93]","[51,66]","[50,51]","[41,16]","[99,117]","[72,77]"
J53,4,8,10,1,3,5,6,2,9,7,,"[53,68]","[68,48]","[93,78]","[58,47]","[28,30]","[96,91]","[44,29]","[118,122]","[32,39]","[114,116]"
J54,3,4,5,7,2,10,9,1,6,8,,"[71,69]","[51,38]","[60,81]","[75,89]","[119,110]","[31,28]","[130,138]","[49,33]","[50,49]","[47,42]"
J55,8,9,5,7,1,6,3,10,4,2,,"[95,104]","[76,109]","[138,148]","[103,97]","[70,98]","[53,74]","[62,69]","[133,95]","[41,67]","[76,128]"
J56,9,7,8,5,6,4,1,3,10,2,,"[41,74]","[86,61]","[87,87]","[128,155]","[45,46]","[64,60]","[78,83]","[31,34]","[51,46]","[37,53]"
J57,2,6,9,7,5,1,4,3,8,10,,"[55,72]","[87,140]","[109,90]","[100,94]","[82,63]","[55,64]","[88,69]","[59,70]","[51,34]","[63,44]"
J58,3,7,8,2,5,9,1,4,10,6,,"[72,70]","[85,90]","[111,86]","[95,89]","[30,42]","[27,33]","[111,68]","[75,81]","[25,26]","[61,73]"
J59,7,3,6,9,2,8,10,5,4,1,,"[71,47]","[21,32]","[40,45]","[64,42]","[49,46]","[132,80]","[43,36]","[75,112]","[54,46]","[97,69]"
J60,5,8,9,2,4,3,7,10,6,1,,"[46,45]","[74,74]","[50,43]","[61,71]","[60,58]","[91,145]","[42,35]","[47,37]","[59,56]","[34,49]"
J61,3,5,10,6,1,2,9,7,8,4,,"[54,67]","[156,110]","[23,34]","[91,126]","[50,69]","[123,106]","[79,68]","[51,80]","[35,31]","[35,33]"
J62,1,6,2,4,3,5,7,9,10,8,,"[105,75]","[88,81]","[93,84]","[40,76]","[39,52]","[65,50]","[103,87]","[49,60]","[166,133]","[64,69]"
J63,7,5,9,8,3,4,6,1,2,10,,"[124,137]","[120,70]","[72,112]","[63,47]","[65,58]","[54,42]","[66,88]","[114,146]","[68,64]","[24,38]"
J64,6,4,7,5,9,3,10,8,2,1,,"[71,53]","[66,62]","[75,58]","[24,38]","[73,63]","[50,37]","[43,56]","[47,45]","[27,45]","[51,42]"
J65,4,6,3,9,8,7,2,10,5,1,,"[63,40]","[90,68]","[72,69]","[59,35]","[48,45]","[40,55]","[72,96]","[30,35]","[138,62]","[66,109]"
J66,3,8,4,1,5,2,9,10,6,7,,"[40,40]","[62,59]","[50,56]","[54,57]","[93,77]","[64,120]","[29,31]","[65,54]","[79,131]","[50,29]"
J67,10,4,7,5,8,6,1,9,2,3,,"[94,93]","[75,106]","[65,70]","[80,104]","[67,113]","[94,104]","[64,57]","[74,56]","[63,74]","[46,38]"
J68,4,3,7,9,2,8,1,6,10,5,,"[63,128]","[63,56]","[80,65]","[103,69]","[46,48]","[125,137]","[112,137]","[82,87]","[62,63]","[47,62]"
J69,5,6,10,4,8,2,1,9,3,7,,"[112,105]","[35,52]","[40,55]","[52,51]","[64,77]","[63,107]","[58,64]","[115,100]","[60,64]","[37,53]"
J70,6,3,1,8,9,5,4,7,10,2,,"[65,60]","[59,70]","[82,76]","[32,46]","[58,94]","[61,55]","[71,97]","[52,43]","[96,90]","[73,128]"
J71,9,2,5,8,1,6,10,4,3,7,,"[83,41]","[60,64]","[91,101]","[112,98]","[81,45]","[70,83]","[73,69]","[58,55]","[73,85]","[84,83]"
J72,3,4,8,5,2,9,10,1,6,7,,"[113,99]","[118,113]","[73,71]","[76,88]","[91,79]","[67,52]","[88,82]","[64,46]","[145,120]","[68,53]"
J73,8,5,4,2,3,9,10,7,6,1,,"[30,22]","[53,63]","[29,32]","[104,74]","[127,109]","[58,64]","[81,83]","[44,49]","[124,73]","[65,60]"
J74,5,6,1,3,7,4,2,8,10,9,,"[106,88]","[114,133]","[40,44]","[105,68]","[118,132]","[46,67]","[83,90]","[79,65]","[36,25]","[56,67]"
J75,7,3,1,8,10,9,4,6,2,5,,"[52,50]","[42,42]","[121,105]","[120,90]","[81,113]","[129,97]","[86,64]","[103,93]","[126,118]","[83,63]"
J76,8,10,1,7,5,9,3,6,2,4,,"[131,130]","[34,27]","[101,111]","[96,101]","[46,48]","[165,105]","[63,57]","[112,85]","[45,55]","[53,36]"
J77,7,9,4,1,2,5,6,10,3,8,,"[64,90]","[91,78]","[86,111]","[41,52]","[129,151]","[62,64]","[84,71]","[115,124]","[23,29]","[59,47]"
J78,2,4,6,5,1,3,7,9,10,8,,"[111,101]","[80,48]","[37,56]","[61,66]","[66,52]","[26,38]","[134,133]","[63,39]","[36,43]","[140,77]"
J79,2,8,5,7,6,1,9,4,10,3,,"[78,72]","[122,108]","[34,45]","[84,56]","[42,47]","[85,74]","[85,90]","[60,59]","[24,38]","[127,96]"
J80,8,3,9,6,2,7,4,1,10,5,,"[80,119]","[52,59]","[75,76]","[113,75]","[27,22]","[112,135]","[48,25]","[132,162]","[123,86]","[73,64]"
J81,9,1,5,6,10,2,8,7,4,3,,"[66,98]","[46,43]","[121,78]","[47,28]","[80,40]","[52,39]","[42,33]","[118,119]","[51,46]","[68,80]"
J82,7,3,9,2,10,5,8,1,6,4,,"[90,79]","[43,51]","[38,63]","[50,63]","[147,146]","[98,82]","[70,63]","[105,67]","[31,32]","[97,101]"
J83,9,8,6,4,3,5,10,2,1,7,,"[106,87]","[73,90]","[91,139]","[67,72]","[59,77]","[94,122]","[92,78]","[56,70]","[27,34]","[73,70]"
J84,5,1,10,6,8,4,3,9,7,2,,"[62,65]","[70,93]","[70,56]","[72,103]","[73,59]","[98,101]","[93,111]","[84,88]","[103,120]","[91,116]"
J85,10,1,4,9,2,7,3,6,5,8,,"[89,113]","[32,29]","[92,69]","[96,92]","[45,37]","[117,103]","[55,76]","[107,130]","[23,39]","[126,68]"
J86,8,4,5,6,3,7,1,10,2,9,,"[39,65]","[103,80]","[91,65]","[88,106]","[81,58]","[70,58]","[54,55]","[70,96]","[68,63]","[94,70]"
J87,1,4,3,8,9,6,10,2,7,5,,"[44,30]","[37,40]","[110,134]","[74,60]","[96,87]","[106,82]","[79,101]","[71,68]","[85,72]","[94,95]"
J88,10,2,4,7,3,9,8,1,6,5,,"[45,36]","[57,48]","[110,96]","[39,28]","[109,68]","[125,140]","[172,81]","[107,65]","[108,74]","[58,114]"
J89,5,3,6,7,9,8,4,2,1,10,,"[92,75]","[97,85]","[63,55]","[43,46]","[98,102]","[56,69]","[85,72]","[81,82]","[61,36]","[81,107]"
J90,3,6,10,9,1,7,4,8,2,5,,"[109,82]","[54,51]","[83,65]","[112,98]","[64,79]","[40,49]","[84,104]","[83,90]","[145,134]","[98,100]"
J91,4,5,6,1,2,10,9,8,7,3,,"[21,23]","[60,107]","[65,77]","[35,26]","[35,28]","[58,65]","[90,80]","[58,59]","[40,63]","[107,104]"
J92,8,7,1,6,3,4,5,10,9,2,,"[62,70]","[48,30]","[34,36]","[146,143]","[52,42]","[49,41]","[67,61]","[49,56]","[40,49]","[73,53]"
J93,5,3,2,9,1,4,6,8,10,7,,"[42,47]","[40,54]","[118,86]","[89,62]","[86,64]","[36,41]","[95,109]","[101,117]","[127,110]","[63,58]"
J94,1,3,10,2,9,4,7,6,8,5,,"[46,37]","[83,87]","[80,72]","[55,47]","[100,97]","[92,56]","[47,94]","[53,79]","[38,31]","[66,131]"
J95,5,3,10,8,6,7,1,4,9,2,,"[132,130]","[78,156]","[110,135]","[94,108]","[32,35]","[124,104]","[127,118]","[129,66]","[39,30]","[34,37]"
J96,4,5,3,7,10,2,8,9,1,6,,"[79,84]","[116,95]","[89,69]","[158,111]","[121,111]","[115,92]","[79,60]","[119,133]","[110,68]","[127,100]"
J97,6,7,5,1,2,8,3,4,10,9,,"[93,67]","[90,100]","[32,32]","[68,36]","[71,60]","[143,102]","[50,63]","[82,60]","[48,47]","[128,118]"
J98,2,6,5,7,4,1,9,10,8,3,,"[105,164]","[96,107]","[103,122]","[51,60]","[69,73]","[61,92]","[45,53]","[52,58]","[62,81]","[37,28]"
J99,2,1,7,10,3,5,6,4,9,8,,"[119,120]","[67,88]","[110,143]","[67,74]","[136,129]","[73,79]","[78,95]","[69,83]","[111,100]","[54,62]"
J100,4,3,8,2,9,1,7,6,10,5,,"[99,76]","[49,46]","[76,109]","[124,120]","[89,82]","[89,110]","[71,61]","[91,86]","[27,46]","[54,104]"
