,,,,,,,,,,,,Processing Time
J78,6,4,7,2,1,8,9,10,3,5,,"[37,45,32]"
J79,2,1,8,5,4,6,10,9,7,3,,"[98,83,86]"
J80,5,9,3,4,2,7,8,10,6,1,,"[129,100,146]"
J81,9,3,8,1,6,4,5,7,10,2,,"[51,26,68]"
J82,1,3,4,6,5,10,9,7,8,2,,"[74,117,60]"
J83,4,8,10,1,3,5,6,2,9,7,,"[89,107,104]"
J84,3,4,5,7,2,10,9,1,6,8,,"[34,31,46]"
J85,8,9,5,7,1,6,3,10,4,2,,"[78,133,123]"
J86,9,7,8,5,6,4,1,3,10,2,,"[102,146,98]"
J87,2,6,9,7,5,1,4,3,8,10,,"[133,100,63]"
J88,3,7,8,2,5,9,1,4,10,6,,"[81,99,96]"
J89,7,3,6,9,2,8,10,5,4,1,,"[77,53,51]"
J90,5,8,9,2,4,3,7,10,6,1,,"[38,23,43]"
J91,3,5,10,6,1,2,9,7,8,4,,"[99,78,84]"
J92,1,6,2,4,3,5,7,9,10,8,,"[42,38,25]"
J93,7,5,9,8,3,4,6,1,2,10,,"[69,77,94]"
J94,6,4,7,5,9,3,10,8,2,1,,"[136,101,84]"
J95,4,6,3,9,8,7,2,10,5,1,,"[36,32,40]"
J96,3,8,4,1,5,2,9,10,6,7,,"[45,54,39]"
J97,10,4,7,5,8,6,1,9,2,3,,"[88,87,81]"
J98,4,3,7,9,2,8,1,6,10,5,,"[98,85,80]"
J99,5,6,10,4,8,2,1,9,3,7,,"[60,93,87]"
J100,6,3,1,8,9,5,4,7,10,2,,"[97,111,105]"
